DateTime,Text,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media
2023-01-06 04:11:23+00:00,"@marla_vous @mommamia1217 Well, Trump has now lost 3 elections in 2 yrs lol",en,,0,0,1,0,
2023-01-06 03:59:04+00:00,My hope is there will be indictments for sitting members of the #GOPDomesticTerrorists in the next few months and special elections will be called for when they have to step down. Wouldn't that be the way it should be? https://t.co/v2zP2keV4q,en,['GOPDomesticTerrorists'],1,0,0,0,
2023-01-06 01:53:40+00:00,"The Commission on Elections (COMELEC) has issued a resolution against former Palawan Governor Mario Joel Reyes that disqualified him from running in the 2022 elections for having been a fugitive from justice.
#PolitikoNews
https://t.co/CChsbCBMur",en,['PolitikoNews'],0,0,1,0,
2023-01-06 01:50:50+00:00,"The Commission on Elections (COMELEC) has issued a resolution that stremalined the accreditation and registration of political parties and party-list groups.
#PolitikoNews
https://t.co/pSl8k7CdqQ",en,['PolitikoNews'],0,0,1,0,
2023-01-06 01:35:06+00:00,"#ICYMI: Comelec Commissioner Rey Bulay, the commissioner-in-charge for the BSKE, shared that all materials to be used for the 2023 elections were already sent before the end of 2022. #PressOnePH

Story here: https://t.co/T3Hyl4V6q9 https://t.co/wWkSXhpzX1",en,"['ICYMI', 'PressOnePH']",1,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/FlwKoCuakAAaUhZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FlwKoCuakAAaUhZ?format=jpg&name=large')]"
2023-01-05 23:01:44+00:00,"@MatteoElRateo @mattyglesias right!? One guy just washed up sitting on his toilet coming up with memes, hanging out with leftover D-list scrubs, and crashing wedding parties to talk about stolen elections. Sad.",en,,0,0,3,0,
2023-01-05 20:07:39+00:00,Warren &amp; Markey do not bring home the bacon again for repeat performance. https://t.co/7kA7Mp4G8I,en,,0,0,0,0,
2023-01-05 18:18:22+00:00,"Ali Alexander says of MGT during Speaker of the House elections, 
“I will not suffer this harlot. I will not be taught vows and loyalty, commitment from a whore!""

So… I sense unhappiness in the @GOP camp",en,,0,0,0,0,
2023-01-05 17:14:34+00:00,Lmao at the @GOP picking @JohnJamesMI to speak as though he didn’t lose a dozen elections before barely squeaking a win in through a gerrymandered district,en,,0,0,0,0,
2023-01-05 16:13:30+00:00,"@Arbakan81 From feedbacks on ground, many Chinese cursing DAP and PH for telling LIES and Now Partnering the UMNO Corrupts.
This coming State Elections PH wants to combine with UMNO to fight in PRNs it be a losing battle for them bcoz have a look at PRU Padang Serai whereby PH lost badly",en,,0,0,0,0,
2023-01-05 15:53:25+00:00,All times are Pacific. Asterisk (*) serves as a re-elected free game must follow the guidelines of 2 limited elections from EG.,en,,1,0,0,0,
2023-01-05 15:09:54+00:00,"📌 How critical is the expected announcement of the G5 Governors to the General Elections?

#HardFacts with @Dee_shark

Guest - Olalekan Ige - Editor, Independent Monitor

📻Listen: https://t.co/undYVSsgN1

📲 070 - 0923 – 0923
.
#NigeriaInfoFM | #LetsTalk https://t.co/KdfOPrTJUI",en,"['HardFacts', 'NigeriaInfoFM', 'LetsTalk']",2,0,1,0,
2023-01-05 14:26:11+00:00,"@notcapnamerica I’m not partying. This dysfunction looks much like what my high school Latin teacher, a Holocaust survivor, told me happened after the elections for the Bundestag in Germany in 1928. We could be two years away from what followed.",en,,0,0,0,0,
